ORIG_DT,WKD_TYP_CD
2018/1/1,NH
2018/1/2,WN
2018/1/3,WN
2018/1/4,WN
2018/1/5,WN
2018/1/6,SN
2018/1/7,SN
2018/1/8,WN
2018/1/9,WN
2018/1/10,WN
2018/1/11,WN
2018/1/12,WN
2018/1/13,SN
2018/1/14,SN
2018/1/15,WN
2018/1/16,WN
2018/1/17,WN
2018/1/18,WN
2018/1/19,WN
2018/1/20,SN
2018/1/21,SN
2018/1/22,WN
2018/1/23,WN
2018/1/24,WN
2018/1/25,WN
2018/1/26,WN
2018/1/27,SN
2018/1/28,SN
2018/1/29,WN
2018/1/30,WN
2018/1/31,WN
2018/2/1,WN
2018/2/2,WN
2018/2/3,SN
2018/2/4,SN
2018/2/5,WN
2018/2/6,WN
2018/2/7,WN
2018/2/8,WN
2018/2/9,WN
2018/2/10,SN
2018/2/11,WS
2018/2/12,WN
2018/2/13,WN
2018/2/14,WN
2018/2/15,SS
2018/2/16,NH
2018/2/17,NH
2018/2/18,NH
2018/2/19,SS
2018/2/20,SS
2018/2/21,SS
2018/2/22,WN
2018/2/23,WN
2018/2/24,WS
2018/2/25,SN
2018/2/26,WN
2018/2/27,WN
2018/2/28,WN
2018/3/1,WN
2018/3/2,WN
2018/3/3,SN
2018/3/4,SN
2018/3/5,WN
2018/3/6,WN
2018/3/7,WN
2018/3/8,WN
2018/3/9,WN
2018/3/10,SN
2018/3/11,SN
2018/3/12,WN
2018/3/13,WN
2018/3/14,WN
2018/3/15,WN
2018/3/16,WN
2018/3/17,SN
2018/3/18,SN
2018/3/19,WN
2018/3/20,WN
2018/3/21,WN
2018/3/22,WN
2018/3/23,WN
2018/3/24,SN
2018/3/25,SN
2018/3/26,WN
2018/3/27,WN
2018/3/28,WN
2018/3/29,WN
2018/3/30,WN
2018/3/31,SN
2018/4/1,SN
2018/4/2,WN
2018/4/3,WN
2018/4/4,WN
2018/4/5,NH
2018/4/6,SS
2018/4/7,SN
2018/4/8,WS
2018/4/9,WN
2018/4/10,WN
2018/4/11,WN
2018/4/12,WN
2018/4/13,WN
2018/4/14,SN
2018/4/15,SN
2018/4/16,WN
2018/4/17,WN
2018/4/18,WN
2018/4/19,WN
2018/4/20,WN
2018/4/21,SN
2018/4/22,SN
2018/4/23,WN
2018/4/24,WN
2018/4/25,WN
2018/4/26,WN
2018/4/27,WN
2018/4/28,WS
2018/4/29,SN
2018/4/30,SS
2018/5/1,NH
2018/5/2,WN
2018/5/3,WN
2018/5/4,WN
2018/5/5,SN
2018/5/6,SN
2018/5/7,WN
2018/5/8,WN
2018/5/9,WN
2018/5/10,WN
2018/5/11,WN
2018/5/12,SN
2018/5/13,SN
2018/5/14,WN
2018/5/15,WN
2018/5/16,WN
2018/5/17,WN
2018/5/18,WN
2018/5/19,SN
2018/5/20,SN
2018/5/21,WN
2018/5/22,WN
2018/5/23,WN
2018/5/24,WN
2018/5/25,WN
2018/5/26,SN
2018/5/27,SN
2018/5/28,WN
2018/5/29,WN
2018/5/30,WN
2018/5/31,WN
2018/6/1,WN
2018/6/2,SN
2018/6/3,SN
2018/6/4,WN
2018/6/5,WN
2018/6/6,WN
2018/6/7,WN
2018/6/8,WN
2018/6/9,SN
2018/6/10,SN
2018/6/11,WN
2018/6/12,WN
2018/6/13,WN
2018/6/14,WN
2018/6/15,WN
2018/6/16,SN
2018/6/17,SN
2018/6/18,NH
2018/6/19,WN
2018/6/20,WN
2018/6/21,WN
2018/6/22,WN
2018/6/23,SN
2018/6/24,SN
2018/6/25,WN
2018/6/26,WN
2018/6/27,WN
2018/6/28,WN
2018/6/29,WN
2018/6/30,SN
2018/7/1,SN
2018/7/2,WN
2018/7/3,WN
2018/7/4,WN
2018/7/5,WN
2018/7/6,WN
2018/7/7,SN
2018/7/8,SN
2018/7/9,WN
2018/7/10,WN
2018/7/11,WN
2018/7/12,WN
2018/7/13,WN
2018/7/14,SN
2018/7/15,SN
2018/7/16,WN
2018/7/17,WN
2018/7/18,WN
2018/7/19,WN
2018/7/20,WN
2018/7/21,SN
2018/7/22,SN
2018/7/23,WN
2018/7/24,WN
2018/7/25,WN
2018/7/26,WN
2018/7/27,WN
2018/7/28,SN
2018/7/29,SN
2018/7/30,WN
2018/7/31,WN
2018/8/1,WN
2018/8/2,WN
2018/8/3,WN
2018/8/4,SN
2018/8/5,SN
2018/8/6,WN
2018/8/7,WN
2018/8/8,WN
2018/8/9,WN
2018/8/10,WN
2018/8/11,SN
2018/8/12,SN
2018/8/13,WN
2018/8/14,WN
2018/8/15,WN
2018/8/16,WN
2018/8/17,WN
2018/8/18,SN
2018/8/19,SN
2018/8/20,WN
2018/8/21,WN
2018/8/22,WN
2018/8/23,WN
2018/8/24,WN
2018/8/25,SN
2018/8/26,SN
2018/8/27,WN
2018/8/28,WN
2018/8/29,WN
2018/8/30,WN
2018/8/31,WN
2018/9/1,SN
2018/9/2,SN
2018/9/3,WN
2018/9/4,WN
2018/9/5,WN
2018/9/6,WN
2018/9/7,WN
2018/9/8,SN
2018/9/9,SN
2018/9/10,WN
2018/9/11,WN
2018/9/12,WN
2018/9/13,WN
2018/9/14,WN
2018/9/15,SN
2018/9/16,SN
2018/9/17,WN
2018/9/18,WN
2018/9/19,WN
2018/9/20,WN
2018/9/21,WN
2018/9/22,SN
2018/9/23,SN
2018/9/24,NH
2018/9/25,WN
2018/9/26,WN
2018/9/27,WN
2018/9/28,WN
2018/9/29,WS
2018/9/30,WS
2018/10/1,NH
2018/10/2,NH
2018/10/3,NH
2018/10/4,SS
2018/10/5,SS
2018/10/6,SN
2018/10/7,SN
2018/10/8,WN
2018/10/9,WN
2018/10/10,WN
2018/10/11,WN
2018/10/12,WN
2018/10/13,SN
2018/10/14,SN
2018/10/15,WN
2018/10/16,WN
2018/10/17,WN
2018/10/18,WN
2018/10/19,WN
2018/10/20,SN
2018/10/21,SN
2018/10/22,WN
2018/10/23,WN
2018/10/24,WN
2018/10/25,WN
2018/10/26,WN
2018/10/27,SN
2018/10/28,SN
2018/10/29,WN
2018/10/30,WN
2018/10/31,WN
2018/11/1,WN
2018/11/2,WN
2018/11/3,SN
2018/11/4,SN
2018/11/5,WN
2018/11/6,WN
2018/11/7,WN
2018/11/8,WN
2018/11/9,WN
2018/11/10,SN
2018/11/11,SN
2018/11/12,WN
2018/11/13,WN
2018/11/14,WN
2018/11/15,WN
2018/11/16,WN
2018/11/17,SN
2018/11/18,SN
2018/11/19,WN
2018/11/20,WN
2018/11/21,WN
2018/11/22,WN
2018/11/23,WN
2018/11/24,SN
2018/11/25,SN
2018/11/26,WN
2018/11/27,WN
2018/11/28,WN
2018/11/29,WN
2018/11/30,WN
2018/12/1,SN
2018/12/2,SN
2018/12/3,WN
2018/12/4,WN
2018/12/5,WN
2018/12/6,WN
2018/12/7,WN
2018/12/8,SN
2018/12/9,SN
2018/12/10,WN
2018/12/11,WN
2018/12/12,WN
2018/12/13,WN
2018/12/14,WN
2018/12/15,SN
2018/12/16,SN
2018/12/17,WN
2018/12/18,WN
2018/12/19,WN
2018/12/20,WN
2018/12/21,WN
2018/12/22,SN
2018/12/23,SN
2018/12/24,WN
2018/12/25,WN
2018/12/26,WN
2018/12/27,WN
2018/12/28,WN
2018/12/29,WS
2018/12/30,SN
2018/12/31,SS
2019/1/1,NH
2019/1/2,WN
2019/1/3,WN
2019/1/4,WN
2019/1/5,SN
2019/1/6,SN
2019/1/7,WN
2019/1/8,WN
2019/1/9,WN
2019/1/10,WN
2019/1/11,WN
2019/1/12,SN
2019/1/13,SN
2019/1/14,WN
2019/1/15,WN
2019/1/16,WN
2019/1/17,WN
2019/1/18,WN
2019/1/19,SN
2019/1/20,SN
2019/1/21,WN
2019/1/22,WN
2019/1/23,WN
2019/1/24,WN
2019/1/25,WN
2019/1/26,SN
2019/1/27,SN
2019/1/28,WN
2019/1/29,WN
2019/1/30,WN
2019/1/31,WN
2019/2/1,WN
2019/2/2,WS
2019/2/3,WS
2019/2/4,NH
2019/2/5,NH
2019/2/6,NH
2019/2/7,SS
2019/2/8,SS
2019/2/9,SN
2019/2/10,SN
2019/2/11,WN
2019/2/12,WN
2019/2/13,WN
2019/2/14,WN
2019/2/15,WN
2019/2/16,SN
2019/2/17,SN
2019/2/18,WN
2019/2/19,WN
2019/2/20,WN
2019/2/21,WN
2019/2/22,WN
2019/2/23,SN
2019/2/24,SN
2019/2/25,WN
2019/2/26,WN
2019/2/27,WN
2019/2/28,WN
2019/3/1,WN
2019/3/2,SN
2019/3/3,SN
2019/3/4,WN
2019/3/5,WN
2019/3/6,WN
2019/3/7,WN
2019/3/8,WN
2019/3/9,SN
2019/3/10,SN
2019/3/11,WN
2019/3/12,WN
2019/3/13,WN
2019/3/14,WN
2019/3/15,WN
2019/3/16,SN
2019/3/17,SN
2019/3/18,WN
2019/3/19,WN
2019/3/20,WN
2019/3/21,WN
2019/3/22,WN
2019/3/23,SN
2019/3/24,SN
2019/3/25,WN
2019/3/26,WN
2019/3/27,WN
2019/3/28,WN
2019/3/29,WN
2019/3/30,SN
2019/3/31,SN
2019/4/1,WN
2019/4/2,WN
2019/4/3,WN
2019/4/4,WN
2019/4/5,NH
2019/4/6,SN
2019/4/7,SN
2019/4/8,WN
2019/4/9,WN
2019/4/10,WN
2019/4/11,WN
2019/4/12,WN
2019/4/13,SN
2019/4/14,SN
2019/4/15,WN
2019/4/16,WN
2019/4/17,WN
2019/4/18,WN
2019/4/19,WN
2019/4/20,SN
2019/4/21,SN
2019/4/22,WN
2019/4/23,WN
2019/4/24,WN
2019/4/25,WN
2019/4/26,WN
2019/4/27,SN
2019/4/28,WS
2019/4/29,WN
2019/4/30,WN
2019/5/1,NH
2019/5/2,SS
2019/5/3,SS
2019/5/4,SN
2019/5/5,WS
2019/5/6,WN
2019/5/7,WN
2019/5/8,WN
2019/5/9,WN
2019/5/10,WN
2019/5/11,SN
2019/5/12,SN
2019/5/13,WN
2019/5/14,WN
2019/5/15,WN
2019/5/16,WN
2019/5/17,WN
2019/5/18,SN
2019/5/19,SN
2019/5/20,WN
2019/5/21,WN
2019/5/22,WN
2019/5/23,WN
2019/5/24,WN
2019/5/25,SN
2019/5/26,SN
2019/5/27,WN
2019/5/28,WN
2019/5/29,WN
2019/5/30,WN
2019/5/31,WN
2019/6/1,SN
2019/6/2,SN
2019/6/3,WN
2019/6/4,WN
2019/6/5,WN
2019/6/6,WN
2019/6/7,NH
2019/6/8,SN
2019/6/9,SN
2019/6/10,WN
2019/6/11,WN
2019/6/12,WN
2019/6/13,WN
2019/6/14,WN
2019/6/15,SN
2019/6/16,SN
2019/6/17,WN
2019/6/18,WN
2019/6/19,WN
2019/6/20,WN
2019/6/21,WN
2019/6/22,SN
2019/6/23,SN
2019/6/24,WN
2019/6/25,WN
2019/6/26,WN
2019/6/27,WN
2019/6/28,WN
2019/6/29,SN
2019/6/30,SN
2019/7/1,WN
2019/7/2,WN
2019/7/3,WN
2019/7/4,WN
2019/7/5,WN
2019/7/6,SN
2019/7/7,SN
2019/7/8,WN
2019/7/9,WN
2019/7/10,WN
2019/7/11,WN
2019/7/12,WN
2019/7/13,SN
2019/7/14,SN
2019/7/15,WN
2019/7/16,WN
2019/7/17,WN
2019/7/18,WN
2019/7/19,WN
2019/7/20,SN
2019/7/21,SN
2019/7/22,WN
2019/7/23,WN
2019/7/24,WN
2019/7/25,WN
2019/7/26,WN
2019/7/27,SN
2019/7/28,SN
2019/7/29,WN
2019/7/30,WN
2019/7/31,WN
2019/8/1,WN
2019/8/2,WN
2019/8/3,SN
2019/8/4,SN
2019/8/5,WN
2019/8/6,WN
2019/8/7,WN
2019/8/8,WN
2019/8/9,WN
2019/8/10,SN
2019/8/11,SN
2019/8/12,WN
2019/8/13,WN
2019/8/14,WN
2019/8/15,WN
2019/8/16,WN
2019/8/17,SN
2019/8/18,SN
2019/8/19,WN
2019/8/20,WN
2019/8/21,WN
2019/8/22,WN
2019/8/23,WN
2019/8/24,SN
2019/8/25,SN
2019/8/26,WN
2019/8/27,WN
2019/8/28,WN
2019/8/29,WN
2019/8/30,WN
2019/8/31,SN
2019/9/1,SN
2019/9/2,WN
2019/9/3,WN
2019/9/4,WN
2019/9/5,WN
2019/9/6,WN
2019/9/7,SN
2019/9/8,SN
2019/9/9,WN
2019/9/10,WN
2019/9/11,WN
2019/9/12,WN
2019/9/13,NH
2019/9/14,SN
2019/9/15,SN
2019/9/16,WN
2019/9/17,WN
2019/9/18,WN
2019/9/19,WN
2019/9/20,WN
2019/9/21,SN
2019/9/22,SN
2019/9/23,WN
2019/9/24,WN
2019/9/25,WN
2019/9/26,WN
2019/9/27,WN
2019/9/28,SN
2019/9/29,WS
2019/9/30,WN
2019/10/1,NH
2019/10/2,NH
2019/10/3,NH
2019/10/4,SS
2019/10/5,SN
2019/10/6,SN
2019/10/7,SS
2019/10/8,WN
2019/10/9,WN
2019/10/10,WN
2019/10/11,WN
2019/10/12,WS
2019/10/13,SN
2019/10/14,WN
2019/10/15,WN
2019/10/16,WN
2019/10/17,WN
2019/10/18,WN
2019/10/19,SN
2019/10/20,SN
2019/10/21,WN
2019/10/22,WN
2019/10/23,WN
2019/10/24,WN
2019/10/25,WN
2019/10/26,SN
2019/10/27,SN
2019/10/28,WN
2019/10/29,WN
2019/10/30,WN
2019/10/31,WN
2019/11/1,WN
2019/11/2,SN
2019/11/3,SN
2019/11/4,WN
2019/11/5,WN
2019/11/6,WN
2019/11/7,WN
2019/11/8,WN
2019/11/9,SN
2019/11/10,SN
2019/11/11,WN
2019/11/12,WN
2019/11/13,WN
2019/11/14,WN
2019/11/15,WN
2019/11/16,SN
2019/11/17,SN
2019/11/18,WN
2019/11/19,WN
2019/11/20,WN
2019/11/21,WN
2019/11/22,WN
2019/11/23,SN
2019/11/24,SN
2019/11/25,WN
2019/11/26,WN
2019/11/27,WN
2019/11/28,WN
2019/11/29,WN
2019/11/30,SN
2019/12/1,SN
2019/12/2,WN
2019/12/3,WN
2019/12/4,WN
2019/12/5,WN
2019/12/6,WN
2019/12/7,SN
2019/12/8,SN
2019/12/9,WN
2019/12/10,WN
2019/12/11,WN
2019/12/12,WN
2019/12/13,WN
2019/12/14,SN
2019/12/15,SN
2019/12/16,WN
2019/12/17,WN
2019/12/18,WN
2019/12/19,WN
2019/12/20,WN
2019/12/21,SN
2019/12/22,SN
2019/12/23,WN
2019/12/24,WN
2019/12/25,WN
2019/12/26,WN
2019/12/27,WN
2019/12/28,SN
2019/12/29,SN
2019/12/30,WN
