ORIG_DT,WKD_TYP_CD
2019/12/31,WN
2020/1/1,NH
2020/1/2,WN
2020/1/3,WN
2020/1/4,SN
2020/1/5,SN
2020/1/6,WN
2020/1/7,WN
2020/1/8,WN
2020/1/9,WN
2020/1/10,WN
2020/1/11,SN
2020/1/12,SN
2020/1/13,WN
2020/1/14,WN
2020/1/15,WN
2020/1/16,WN
2020/1/17,WN
2020/1/18,SN
2020/1/19,WS
2020/1/20,WN
2020/1/21,WN
2020/1/22,WN
2020/1/23,WN
2020/1/24,NH
2020/1/25,NH
2020/1/26,NH
2020/1/27,SS
2020/1/28,SS
2020/1/29,SS
2020/1/30,NH
2020/1/31,NH
2020/2/1,SN
2020/2/2,SN
2020/2/3,WN
2020/2/4,WN
2020/2/5,WN
2020/2/6,WN
2020/2/7,WN
2020/2/8,SN
2020/2/9,SN
2020/2/10,WN
2020/2/11,WN
2020/2/12,WN
2020/2/13,WN
2020/2/14,WN
2020/2/15,SN
2020/2/16,SN
2020/2/17,WN
2020/2/18,WN
2020/2/19,WN
2020/2/20,WN
2020/2/21,WN
2020/2/22,SN
2020/2/23,SN
2020/2/24,WN
2020/2/25,WN
2020/2/26,WN
2020/2/27,WN
2020/2/28,WN
2020/2/29,SN
2020/3/1,SN
2020/3/2,WN
2020/3/3,WN
2020/3/4,WN
2020/3/5,WN
2020/3/6,WN
2020/3/7,SN
2020/3/8,SN
2020/3/9,WN
2020/3/10,WN
2020/3/11,WN
2020/3/12,WN
2020/3/13,WN
2020/3/14,SN
2020/3/15,SN
2020/3/16,WN
2020/3/17,WN
2020/3/18,WN
2020/3/19,WN
2020/3/20,WN
2020/3/21,SN
2020/3/22,SN
2020/3/23,WN
2020/3/24,WN
2020/3/25,WN
2020/3/26,WN
2020/3/27,WN
2020/3/28,SN
2020/3/29,SN
2020/3/30,WN
2020/3/31,WN
2020/4/1,WN
2020/4/2,WN
2020/4/3,WN
2020/4/4,NH
2020/4/5,SN
2020/4/6,SS
2020/4/7,WN
2020/4/8,WN
2020/4/9,WN
2020/4/10,WN
2020/4/11,SN
2020/4/12,SN
2020/4/13,WN
2020/4/14,WN
2020/4/15,WN
2020/4/16,WN
2020/4/17,WN
2020/4/18,SN
2020/4/19,SN
2020/4/20,WN
2020/4/21,WN
2020/4/22,WN
2020/4/23,WN
2020/4/24,WN
2020/4/25,SN
2020/4/26,WS
2020/4/27,WN
2020/4/28,WN
2020/4/29,WN
2020/4/30,WN
2020/5/1,NH
2020/5/2,SN
2020/5/3,SN
2020/5/4,SS
2020/5/5,SS
2020/5/6,WN
2020/5/7,WN
2020/5/8,WN
2020/5/9,WS
2020/5/10,SN
2020/5/11,WN
2020/5/12,WN
2020/5/13,WN
2020/5/14,WN
2020/5/15,WN
2020/5/16,SN
2020/5/17,SN
2020/5/18,WN
2020/5/19,WN
2020/5/20,WN
2020/5/21,WN
2020/5/22,WN
2020/5/23,SN
2020/5/24,SN
2020/5/25,WN
2020/5/26,WN
2020/5/27,WN
2020/5/28,WN
2020/5/29,WN
2020/5/30,SN
2020/5/31,SN
2020/6/1,WN
2020/6/2,WN
2020/6/3,WN
2020/6/4,WN
2020/6/5,WN
2020/6/6,SN
2020/6/7,SN
2020/6/8,WN
2020/6/9,WN
2020/6/10,WN
2020/6/11,WN
2020/6/12,WN
2020/6/13,SN
2020/6/14,SN
2020/6/15,WN
2020/6/16,WN
2020/6/17,WN
2020/6/18,WN
2020/6/19,WN
2020/6/20,SN
2020/6/21,SN
2020/6/22,WN
2020/6/23,WN
2020/6/24,WN
2020/6/25,NH
2020/6/26,SS
2020/6/27,SN
2020/6/28,WS
2020/6/29,WN
2020/6/30,WN
2020/7/1,WN
2020/7/2,WN
2020/7/3,WN
2020/7/4,SN
2020/7/5,SN
2020/7/6,WN
2020/7/7,WN
2020/7/8,WN
2020/7/9,WN
2020/7/10,WN
2020/7/11,SN
2020/7/12,SN
2020/7/13,WN
2020/7/14,WN
2020/7/15,WN
2020/7/16,WN
2020/7/17,WN
2020/7/18,SN
2020/7/19,SN
2020/7/20,WN
2020/7/21,WN
2020/7/22,WN
2020/7/23,WN
2020/7/24,WN
2020/7/25,SN
2020/7/26,SN
2020/7/27,WN
2020/7/28,WN
2020/7/29,WN
2020/7/30,WN
2020/7/31,WN
2020/8/1,SN
2020/8/2,SN
2020/8/3,WN
2020/8/4,WN
2020/8/5,WN
2020/8/6,WN
2020/8/7,WN
2020/8/8,SN
2020/8/9,SN
2020/8/10,WN
2020/8/11,WN
2020/8/12,WN
2020/8/13,WN
2020/8/14,WN
2020/8/15,SN
2020/8/16,SN
2020/8/17,WN
2020/8/18,WN
2020/8/19,WN
2020/8/20,WN
2020/8/21,WN
2020/8/22,SN
2020/8/23,SN
2020/8/24,WN
2020/8/25,WN
2020/8/26,WN
2020/8/27,WN
2020/8/28,WN
2020/8/29,SN
2020/8/30,SN
2020/8/31,WN
2020/9/1,WN
2020/9/2,WN
2020/9/3,WN
2020/9/4,WN
2020/9/5,SN
2020/9/6,SN
2020/9/7,WN
2020/9/8,WN
2020/9/9,WN
2020/9/10,WN
2020/9/11,WN
2020/9/12,SN
2020/9/13,SN
2020/9/14,WN
2020/9/15,WN
2020/9/16,WN
2020/9/17,WN
2020/9/18,WN
2020/9/19,SN
2020/9/20,SN
2020/9/21,WN
2020/9/22,WN
2020/9/23,WN
2020/9/24,WN
2020/9/25,WN
2020/9/26,SN
2020/9/27,WS
2020/9/28,WN
2020/9/29,WN
2020/9/30,WN
2020/10/1,NH
2020/10/2,NH
2020/10/3,NH
2020/10/4,NH
2020/10/5,SS
2020/10/6,SS
2020/10/7,SS
2020/10/8,SS
2020/10/9,WN
2020/10/10,WS
2020/10/11,SN
2020/10/12,WN
2020/10/13,WN
2020/10/14,WN
2020/10/15,WN
2020/10/16,WN
2020/10/17,SN
2020/10/18,SN
2020/10/19,WN
2020/10/20,WN
2020/10/21,WN
2020/10/22,WN
2020/10/23,WN
2020/10/24,SN
2020/10/25,SN
2020/10/26,WN
2020/10/27,WN
2020/10/28,WN
2020/10/29,WN
2020/10/30,WN
2020/10/31,SN
2020/11/1,SN
2020/11/2,WN
2020/11/3,WN
2020/11/4,WN
2020/11/5,WN
2020/11/6,WN
2020/11/7,SN
2020/11/8,SN
2020/11/9,WN
2020/11/10,WN
2020/11/11,WN
2020/11/12,WN
2020/11/13,WN
2020/11/14,SN
2020/11/15,SN
2020/11/16,WN
2020/11/17,WN
2020/11/18,WN
2020/11/19,WN
2020/11/20,WN
2020/11/21,SN
2020/11/22,SN
2020/11/23,WN
2020/11/24,WN
2020/11/25,WN
2020/11/26,WN
2020/11/27,WN
2020/11/28,SN
2020/11/29,SN
2020/11/30,WN
2020/12/1,WN
2020/12/2,WN
2020/12/3,WN
2020/12/4,WN
2020/12/5,SN
2020/12/6,SN
2020/12/7,WN
2020/12/8,WN
2020/12/9,WN
2020/12/10,WN
2020/12/11,WN
2020/12/12,SN
2020/12/13,SN
2020/12/14,WN
2020/12/15,WN
2020/12/16,WN
2020/12/17,WN
2020/12/18,WN
2020/12/19,SN
2020/12/20,SN
2020/12/21,WN
2020/12/22,WN
2020/12/23,WN
2020/12/24,WN
2020/12/25,WN
2020/12/26,SN
2020/12/27,SN
2020/12/28,WN
2020/12/29,WN
2020/12/30,WN
2020/12/31,WN
2021/1/1,NH
2021/1/2,SN
2021/1/3,SN
2021/1/4,WN
2021/1/5,WN
2021/1/6,WN
2021/1/7,WN
2021/1/8,WN
2021/1/9,SN
2021/1/10,SN
2021/1/11,WN
2021/1/12,WN
2021/1/13,WN
2021/1/14,WN
2021/1/15,WN
2021/1/16,SN
2021/1/17,SN
2021/1/18,WN
2021/1/19,WN
2021/1/20,WN
2021/1/21,WN
2021/1/22,WN
2021/1/23,SN
2021/1/24,SN
2021/1/25,WN
2021/1/26,WN
2021/1/27,WN
2021/1/28,WN
2021/1/29,WN
2021/1/30,SN
2021/1/31,SN
2021/2/1,WN
2021/2/2,WN
2021/2/3,WN
2021/2/4,WN
2021/2/5,WN
2021/2/6,SN
2021/2/7,WS
2021/2/8,WN
2021/2/9,WN
2021/2/10,WN
2021/2/11,SS
2021/2/12,NH
2021/2/13,NH
2021/2/14,NH
2021/2/15,SS
2021/2/16,SS
2021/2/17,SS
2021/2/18,WN
2021/2/19,WN
2021/2/20,WS
2021/2/21,SN
2021/2/22,WN
2021/2/23,WN
2021/2/24,WN
2021/2/25,WN
2021/2/26,WN
2021/2/27,SN
2021/2/28,SN
2021/3/1,WN
2021/3/2,WN
2021/3/3,WN
2021/3/4,WN
2021/3/5,WN
2021/3/6,SN
2021/3/7,SN
2021/3/8,WN
2021/3/9,WN
2021/3/10,WN
2021/3/11,WN
2021/3/12,WN
2021/3/13,SN
2021/3/14,SN
2021/3/15,WN
2021/3/16,WN
2021/3/17,WN
2021/3/18,WN
2021/3/19,WN
2021/3/20,SN
2021/3/21,SN
2021/3/22,WN
2021/3/23,WN
2021/3/24,WN
2021/3/25,WN
2021/3/26,WN
2021/3/27,SN
2021/3/28,SN
2021/3/29,WN
2021/3/30,WN
2021/3/31,WN
2021/4/1,WN
2021/4/2,WN
2021/4/3,SN
2021/4/4,NH
2021/4/5,SS
2021/4/6,WN
2021/4/7,WN
2021/4/8,WN
2021/4/9,WN
2021/4/10,SN
2021/4/11,SN
2021/4/12,WN
2021/4/13,WN
2021/4/14,WN
2021/4/15,WN
2021/4/16,WN
2021/4/17,SN
2021/4/18,SN
2021/4/19,WN
2021/4/20,WN
2021/4/21,WN
2021/4/22,WN
2021/4/23,WN
2021/4/24,SN
2021/4/25,WS
2021/4/26,WN
2021/4/27,WN
2021/4/28,WN
2021/4/29,WN
2021/4/30,WN
2021/5/1,NH
2021/5/2,SN
2021/5/3,SS
2021/5/4,SS
2021/5/5,SS
2021/5/6,WN
2021/5/7,WN
2021/5/8,WS
2021/5/9,SN
2021/5/10,WN
2021/5/11,WN
2021/5/12,WN
2021/5/13,WN
2021/5/14,WN
2021/5/15,SN
2021/5/16,SN
2021/5/17,WN
2021/5/18,WN
2021/5/19,WN
2021/5/20,WN
2021/5/21,WN
2021/5/22,SN
2021/5/23,SN
2021/5/24,WN
2021/5/25,WN
2021/5/26,WN
2021/5/27,WN
2021/5/28,WN
2021/5/29,SN
2021/5/30,SN
2021/5/31,WN
2021/6/1,WN
2021/6/2,WN
2021/6/3,WN
2021/6/4,WN
2021/6/5,SN
2021/6/6,SN
2021/6/7,WN
2021/6/8,WN
2021/6/9,WN
2021/6/10,WN
2021/6/11,WN
2021/6/12,SN
2021/6/13,SN
2021/6/14,NH
2021/6/15,WN
2021/6/16,WN
2021/6/17,WN
2021/6/18,WN
2021/6/19,SN
2021/6/20,SN
2021/6/21,WN
2021/6/22,WN
2021/6/23,WN
2021/6/24,WN
2021/6/25,WN
2021/6/26,SN
2021/6/27,SN
2021/6/28,WN
2021/6/29,WN
2021/6/30,WN
2021/7/1,WN
2021/7/2,WN
2021/7/3,SN
2021/7/4,SN
2021/7/5,WN
2021/7/6,WN
2021/7/7,WN
2021/7/8,WN
2021/7/9,WN
2021/7/10,SN
2021/7/11,SN
2021/7/12,WN
2021/7/13,WN
2021/7/14,WN
2021/7/15,WN
2021/7/16,WN
2021/7/17,SN
2021/7/18,SN
2021/7/19,WN
2021/7/20,WN
2021/7/21,WN
2021/7/22,WN
2021/7/23,WN
2021/7/24,SN
2021/7/25,SN
2021/7/26,WN
2021/7/27,WN
2021/7/28,WN
2021/7/29,WN
2021/7/30,WN
2021/7/31,SN
2021/8/1,SN
2021/8/2,WN
2021/8/3,WN
2021/8/4,WN
2021/8/5,WN
2021/8/6,WN
2021/8/7,SN
2021/8/8,SN
2021/8/9,WN
2021/8/10,WN
2021/8/11,WN
2021/8/12,WN
2021/8/13,WN
2021/8/14,SN
2021/8/15,SN
2021/8/16,WN
2021/8/17,WN
2021/8/18,WN
2021/8/19,WN
2021/8/20,WN
2021/8/21,SN
2021/8/22,SN
2021/8/23,WN
2021/8/24,WN
2021/8/25,WN
2021/8/26,WN
2021/8/27,WN
2021/8/28,SN
2021/8/29,SN
2021/8/30,WN
2021/8/31,WN
2021/9/1,WN
2021/9/2,WN
2021/9/3,WN
2021/9/4,SN
2021/9/5,SN
2021/9/6,WN
2021/9/7,WN
2021/9/8,WN
2021/9/9,WN
2021/9/10,WN
2021/9/11,SN
2021/9/12,SN
2021/9/13,WN
2021/9/14,WN
2021/9/15,WN
2021/9/16,WN
2021/9/17,WN
2021/9/18,WS
2021/9/19,SN
2021/9/20,SS
2021/9/21,NH
2021/9/22,WN
2021/9/23,WN
2021/9/24,WN
2021/9/25,SN
2021/9/26,WS
2021/9/27,WN
2021/9/28,WN
2021/9/29,WN
2021/9/30,WN
2021/10/1,NH
2021/10/2,NH
2021/10/3,NH
2021/10/4,SS
2021/10/5,SS
2021/10/6,SS
2021/10/7,SS
2021/10/8,WN
2021/10/9,WS
2021/10/10,SN
2021/10/11,WN
2021/10/12,WN
2021/10/13,WN
2021/10/14,WN
2021/10/15,WN
2021/10/16,SN
2021/10/17,SN
2021/10/18,WN
2021/10/19,WN
2021/10/20,WN
2021/10/21,WN
2021/10/22,WN
2021/10/23,SN
2021/10/24,SN
2021/10/25,WN
2021/10/26,WN
2021/10/27,WN
2021/10/28,WN
2021/10/29,WN
2021/10/30,SN
2021/10/31,SN
2021/11/1,WN
2021/11/2,WN
2021/11/3,WN
2021/11/4,WN
2021/11/5,WN
2021/11/6,SN
2021/11/7,SN
2021/11/8,WN
2021/11/9,WN
2021/11/10,WN
2021/11/11,WN
2021/11/12,WN
2021/11/13,SN
2021/11/14,SN
2021/11/15,WN
2021/11/16,WN
2021/11/17,WN
2021/11/18,WN
2021/11/19,WN
2021/11/20,SN
2021/11/21,SN
2021/11/22,WN
2021/11/23,WN
2021/11/24,WN
2021/11/25,WN
2021/11/26,WN
2021/11/27,SN
2021/11/28,SN
2021/11/29,WN
2021/11/30,WN
2021/12/1,WN
2021/12/2,WN
2021/12/3,WN
2021/12/4,SN
2021/12/5,SN
2021/12/6,WN
2021/12/7,WN
2021/12/8,WN
2021/12/9,WN
2021/12/10,WN
2021/12/11,SN
2021/12/12,SN
2021/12/13,WN
2021/12/14,WN
2021/12/15,WN
2021/12/16,WN
2021/12/17,WN
2021/12/18,SN
2021/12/19,SN
2021/12/20,WN
2021/12/21,WN
2021/12/22,WN
2021/12/23,WN
2021/12/24,WN
2021/12/25,SN
2021/12/26,SN
2021/12/27,WN
2021/12/28,WN
2021/12/29,WN
2021/12/30,WN
2021/12/31,WN
